angle_roll,kalman_angle_roll,angle_pitch,kalman_angle_pitch,analogRule,time
2.12,0.65,-77.65,-23.89,0,41068
2.14,1.00,-77.68,-36.55,0,41078
2.15,1.22,-77.77,-44.40,0,41088
2.19,1.37,-77.70,-49.73,0,41098
2.23,1.49,-77.65,-53.59,0,41108
2.23,1.58,-77.66,-56.50,0,41118
2.22,1.65,-77.79,-58.81,0,41128
2.25,1.71,-77.77,-60.66,0,41138
2.27,1.76,-77.72,-62.18,0,41148
2.23,1.80,-77.73,-63.45,0,41158
2.27,1.83,-77.68,-64.52,0,41168
2.25,1.86,-77.70,-65.45,0,41178
2.16,1.90,-77.81,-66.97,0,41188
2.14,1.92,-77.77,-67.60,0,41198
2.15,1.93,-77.66,-68.15,0,41208
2.10,1.94,-77.71,-68.65,0,41218
2.14,1.95,-77.62,-69.50,0,41228
2.16,1.96,-77.60,-69.86,0,41238
2.18,1.97,-77.58,-70.20,0,41248
2.22,1.98,-77.55,-70.50,0,41258
2.22,2.00,-77.63,-71.05,0,41268
2.22,2.01,-77.64,-71.29,0,41278
2.25,2.02,-77.61,-71.52,0,41288
2.19,2.02,-77.61,-71.73,0,41298
2.08,2.03,-77.65,-72.11,0,41308
2.07,2.03,-77.68,-72.28,0,41318
2.09,2.03,-77.63,-72.45,0,41328
2.12,2.03,-77.59,-72.60,0,41338
2.18,2.04,-77.64,-72.88,0,41348
2.15,2.04,-77.65,-73.01,0,41358
2.15,2.05,-77.69,-73.13,0,41368
2.15,2.05,-77.72,-73.25,0,41378
2.12,2.05,-77.63,-73.47,0,41388
2.13,2.05,-77.62,-73.57,0,41398
2.19,2.06,-77.55,-73.66,0,41408
2.19,2.06,-77.56,-73.75,0,41418
2.12,2.06,-77.58,-73.92,0,41428
2.13,2.06,-77.58,-74.00,0,41438
2.11,2.06,-77.64,-74.08,0,41448
2.05,2.06,-77.72,-74.15,0,41458
2.04,2.06,-77.82,-74.29,0,41468
2.05,2.06,-77.86,-74.36,0,41478
2.14,2.06,-77.71,-74.43,0,41488
2.10,2.06,-77.67,-74.49,0,41498
2.41,2.07,-77.54,-74.60,0,41508
2.18,2.07,-77.61,-74.66,0,41518
2.17,2.07,-77.88,-74.71,0,41528
2.25,2.08,-77.75,-74.77,0,41538
2.27,2.08,-77.81,-74.87,0,41548
2.12,2.08,-77.69,-74.91,0,41558
2.14,2.08,-77.66,-74.96,0,41568
2.10,2.08,-77.69,-75.00,0,41578
2.04,2.08,-77.66,-75.05,0,41588
2.22,2.09,-77.62,-75.24,0,41598
2.16,2.10,-77.69,-75.40,0,41608
2.14,2.10,-77.64,-75.44,0,41618
2.12,2.10,-77.63,-75.47,0,41628
2.09,2.10,-77.66,-75.49,0,41638
2.23,2.10,-77.69,-75.66,0,41648
2.23,2.11,-77.76,-75.81,0,41658
2.23,2.11,-77.82,-75.83,0,41668
2.19,2.11,-77.79,-75.85,0,41678
2.15,2.11,-77.85,-75.96,0,41688
2.01,2.11,-77.68,-76.11,0,41698
2.33,2.12,-77.89,-76.13,0,41708
2.13,2.12,-77.65,-76.14,0,41718
2.26,2.12,-77.70,-76.22,0,41728
2.12,2.12,-77.70,-76.31,0,41738
2.12,2.12,-77.64,-76.33,0,41748
2.14,2.12,-77.69,-76.34,0,41758
2.19,2.12,-77.59,-76.45,0,41768
2.16,2.12,-77.74,-76.48,0,41778
2.15,2.12,-77.74,-76.49,0,41788
2.16,2.12,-77.76,-76.50,0,41798
