time,Forca (N),Deslocamento (mm)
62758,0.414468,0.0
62768,0.0414,0.0
62778,0.26938599999999996,0.0
62788,0.43519399999999986,0.0
62798,0.55955,0.0
62808,0.6424540000000001,0.0
62818,0.7149949999999999,0.0
62828,0.76681,0.0
62838,0.818625,0.0
62848,0.860077,0.0
62858,0.880803,0.0
62868,0.9118919999999998,0.0
62878,0.9429809999999998,0.0
62888,0.9637069999999999,0.0
62898,0.9740699999999999,0.0
62908,0.9947959999999999,0.0
62918,1.015522,0.0
62928,1.025885,0.0
62938,1.036248,0.0
62948,1.0466109999999997,0.0
62958,1.056974,0.0
62968,1.0673369999999998,0.0
62978,1.0673369999999998,0.0
62988,1.0777,0.0
62998,1.0777,0.0
63008,1.0777,0.0
63018,1.0880629999999998,0.0
63028,1.0880629999999998,0.0
63038,1.0984260000000001,0.0
63048,1.0984260000000001,0.0
63058,1.0984260000000001,0.0
63068,1.0984260000000001,0.0
63078,1.1087889999999998,0.0
63088,1.1087889999999998,0.0
63098,1.1191520000000001,0.0
63108,1.1191520000000001,0.0
63118,1.1295149999999998,0.0
63128,1.1295149999999998,0.0
63138,1.1295149999999998,0.0
63148,1.1295149999999998,0.0
63158,1.1295149999999998,0.0
63168,1.1295149999999998,0.0
63178,1.1398780000000002,0.0
63188,1.1398780000000002,0.0
63198,1.1398780000000002,0.0
63208,1.1398780000000002,0.0
63218,1.1398780000000002,0.0
63228,1.1502409999999998,0.0
63238,1.1502409999999998,0.0
63248,1.1502409999999998,0.0
63258,1.1502409999999998,0.0
63268,1.1502409999999998,0.0
63278,1.1502409999999998,0.0
63288,1.1502409999999998,0.0
63298,1.1606040000000002,0.0
63308,1.1606040000000002,0.0
63318,1.1606040000000002,0.0
63328,1.1606040000000002,0.0
63338,1.1606040000000002,0.0
63348,1.1606040000000002,0.0
63358,1.1606040000000002,0.0
63368,1.1709669999999999,0.0
63378,1.1709669999999999,0.0
63388,1.1709669999999999,0.0
63398,1.1709669999999999,0.0
63408,1.1709669999999999,0.0
63418,1.1709669999999999,0.0
63428,1.1709669999999999,0.0
63438,1.1709669999999999,0.0
63448,1.1709669999999999,0.0
63458,1.1709669999999999,0.0
63468,1.1709669999999999,0.0
63478,1.1709669999999999,0.0
63488,1.1709669999999999,0.0
63498,1.1709669999999999,0.0
63508,1.1709669999999999,0.0
63518,1.1709669999999999,0.0
63528,1.1709669999999999,0.0
63538,1.1709669999999999,0.0
63548,1.1709669999999999,0.0
63558,1.1709669999999999,0.0
63568,1.1709669999999999,0.0
63578,1.1709669999999999,0.0
63588,1.1709669999999999,0.0
63598,1.1813300000000002,0.0
63608,1.1813300000000002,0.0
63618,1.1813300000000002,0.0
63628,1.1813300000000002,0.0
63638,1.1813300000000002,0.0
63648,1.1813300000000002,0.0
63658,1.1813300000000002,0.0
63668,1.1813300000000002,0.0
63678,1.1813300000000002,0.0
63688,1.1813300000000002,0.0
63698,1.1813300000000002,0.0
63708,1.1813300000000002,0.0
63718,1.1709669999999999,0.0
63728,1.1709669999999999,0.0
63738,1.1709669999999999,0.0
63748,1.1709669999999999,0.0
63758,1.1709669999999999,0.0
63768,1.1709669999999999,0.0
63778,1.1709669999999999,0.0
63788,1.1606040000000002,0.0
63798,1.1606040000000002,0.0
63808,1.1606040000000002,0.0
63818,1.1606040000000002,0.0
63828,1.1606040000000002,0.0
63838,1.1606040000000002,0.0
63848,1.1606040000000002,0.0
63858,1.1606040000000002,0.0
63868,1.1709669999999999,0.0
63878,1.1709669999999999,0.0
63888,1.1709669999999999,0.0
63898,1.1709669999999999,0.0
63908,1.1709669999999999,0.0
63918,1.1709669999999999,0.0
63928,1.1709669999999999,0.0
63938,1.1709669999999999,0.0
63948,1.1709669999999999,0.0
63958,1.1709669999999999,0.0
63968,1.1709669999999999,0.0
63978,1.1709669999999999,0.0
63988,1.1709669999999999,0.0
63998,1.1709669999999999,0.0
64008,1.1709669999999999,0.0
64018,1.1709669999999999,0.0
64028,1.1709669999999999,0.0
64038,1.1709669999999999,0.0
64048,1.1709669999999999,0.0
64058,1.1709669999999999,0.0
64068,1.1709669999999999,0.0
64078,1.1709669999999999,0.0
64088,1.1709669999999999,0.0
64098,1.1709669999999999,0.0
64108,1.1709669999999999,0.0
64118,1.1709669999999999,0.0
64128,1.1709669999999999,0.0
64138,1.1709669999999999,0.0
64148,1.1709669999999999,0.0
64158,1.1709669999999999,0.0
64168,1.1709669999999999,0.0
64178,1.1606040000000002,0.0
64188,1.1606040000000002,0.0
64198,1.1606040000000002,0.0
64208,1.1606040000000002,0.0
64218,1.1606040000000002,0.0
64228,1.1606040000000002,0.0
64238,1.1606040000000002,0.0
64248,1.1606040000000002,0.0
64258,1.1606040000000002,0.0
64268,1.1606040000000002,0.0
64278,1.1606040000000002,0.0
64288,1.1606040000000002,0.0
64298,1.1606040000000002,0.0
64308,1.1709669999999999,0.0
64318,1.1606040000000002,0.0
64328,1.1606040000000002,0.0
64338,1.1606040000000002,0.0
64348,1.1709669999999999,0.0
64358,1.1709669999999999,0.0
64368,1.1709669999999999,0.0
64378,1.1709669999999999,0.0
64388,1.1709669999999999,0.0
64398,1.1709669999999999,0.0
64408,1.1709669999999999,0.0
64418,1.1709669999999999,0.0
64428,1.1606040000000002,0.0
64438,1.1606040000000002,0.0
64448,1.1606040000000002,0.0
64458,1.1606040000000002,0.0
64468,1.1606040000000002,0.0
64478,1.1606040000000002,0.0
64488,1.1606040000000002,0.0
64498,1.1606040000000002,0.0
64508,1.1606040000000002,0.0
64518,1.1709669999999999,0.0
64528,1.1709669999999999,0.0
64538,1.1709669999999999,0.0
64548,1.1709669999999999,0.0
64558,1.1709669999999999,0.0
64568,1.1709669999999999,0.0
64578,1.1709669999999999,0.0
64588,1.1709669999999999,0.0
64598,1.1709669999999999,0.0
64608,1.1709669999999999,0.0
64618,1.1709669999999999,0.0
64628,1.1606040000000002,0.0
64638,1.1606040000000002,0.0
64648,1.1606040000000002,0.0
64658,1.1606040000000002,0.0
64668,1.1606040000000002,0.0
64678,1.1606040000000002,0.0
64688,1.1606040000000002,0.0
64698,1.1606040000000002,0.0
64708,1.1606040000000002,0.0
64718,1.1606040000000002,0.0
64728,1.1606040000000002,0.0
64738,1.1606040000000002,0.0
64748,1.1606040000000002,0.0
64758,1.1606040000000002,0.0
64768,1.1606040000000002,0.0
64778,1.1606040000000002,0.0
64788,1.1606040000000002,0.0
64798,1.1606040000000002,0.0
64808,1.1606040000000002,0.0
64818,1.1606040000000002,0.0
64828,1.1606040000000002,0.0
64838,1.1606040000000002,0.0
64848,1.1606040000000002,0.0
64858,1.1606040000000002,0.0
64868,1.1606040000000002,0.0
64878,1.1606040000000002,0.0
64888,1.1606040000000002,0.0
64898,1.1606040000000002,0.0
64908,1.1606040000000002,0.0
64918,1.1606040000000002,0.0
64928,1.1606040000000002,0.0
64938,1.1606040000000002,0.0
64948,1.1606040000000002,0.0
64958,1.1606040000000002,0.0
