angle_roll,kalman_angle_roll,angle_pitch,kalman_angle_pitch,analogRule,time
0.564336, -3.677209, 0.522003, -3.683254, 0.000000,927517
0.524254, -3.659110, 0.523064, -3.684191, 0.000000,927655
0.564248, -3.610893, 0.523900, -3.684323, 0.000000,927795
0.472141, -3.687827, 0.524735, -3.686427, 0.000000,930922
0.564173, -3.728740, 0.525048, -3.686747, 0.000000,930984
0.485359, -3.701754, 0.524211, -3.686618, 0.000000,931034
0.564698, -3.719051, 0.524469, -3.687129, 0.000000,931105
0.551851, -3.668319, 0.524596, -3.687185, 0.000000,931151
0.564360, -3.637917, 0.525639, -3.687078, 0.000000,931228
0.614675, -3.729847, 0.526438, -3.687412, 0.000000,931522
0.552055, -3.748703, 0.525791, -3.688133, 0.000000,931560
0.537245, -3.645189, 0.525712, -3.687879, 0.000000,931613
0.458817, -3.686147, 0.525216, -3.687843, 0.000000,931675
0.538335, -3.678910, 0.525936, -3.688255, 0.000000,931725
0.459519, -3.547092, 0.525343, -3.687924, 0.000000,931836
0.511929, -3.730480, 0.525131, -3.688488, 0.000000,931911
0.617588, -3.602711, 0.524876, -3.687945, 0.000000,931966
0.603945, -3.731275, 0.524283, -3.688712, 0.000000,932074
0.642965, -3.623936, 0.524494, -3.688948, 0.000000,932184
0.524501, -3.647698, 0.523599, -3.688799, 0.000000,932311
0.564473, -3.664951, 0.523494, -3.688524, 0.000000,932394
0.616142, -3.646806, 0.524469, -3.688514, 0.000000,932475
0.524112, -3.697501, 0.524145, -3.688657, 0.000000,932525
0.458942, -3.647734, 0.523901, -3.688596, 0.000000,932627
0.433324, -3.626551, 0.523844, -3.688117, 0.000000,932699
0.484923, -3.685290, 0.523861, -3.688258, 0.000000,932755
0.551292, -3.546230, 0.523867, -3.687476, 0.000000,932842
0.512803, -3.644623, 0.522915, -3.687460, 0.000000,933161
0.406018, -3.669734, 0.521862, -3.687857, 0.000000,933304
0.537107, -3.670504, 0.521857, -3.687278, 0.000000,933408
0.563861, -3.608415, 0.522426, -3.687076, 0.000000,933466
0.642899, -3.715593, 0.522684, -3.687080, 0.000000,933522
0.419516, -3.633836, 0.522299, -3.687256, 0.000000,933575
0.722262, -3.732041, 0.523587, -3.687286, 0.000000,933628
0.603762, -3.795907, 0.524542, -3.688627, 0.000000,933696
0.525147, -3.573264, 0.524162, -3.687622, 0.000000,933748
0.852266, -3.857638, 0.525342, -3.688500, 1.000000,933814
0.394180, -3.470876, 0.523957, -3.687195, 33.000000,933858
0.577241, -3.807278, 0.524587, -3.688172, 73.000000,933914
0.616069, -3.751454, 0.524569, -3.688725, 102.000000,933971
0.406122, -3.644425, 0.523495, -3.688463, 151.000000,934038
0.538351, -3.652703, 0.523792, -3.688231, 223.000000,934134
0.472437, -3.742742, 0.524351, -3.689103, 256.000000,934187
0.707545, -3.684299, 0.525368, -3.689172, 288.000000,934253
0.472099, -3.766346, 0.524580, -3.689313, 321.000000,934301
0.564852, -3.680579, 0.525019, -3.689423, 362.000000,934351
0.670363, -3.722389, 0.525591, -3.689147, 390.000000,934406
0.642477, -3.686876, 0.526133, -3.689351, 415.000000,934461
0.708525, -3.676265, 0.527024, -3.689559, 449.000000,934516
0.563119, -3.761129, 0.527198, -3.689974, 464.000000,934573
0.536954, -3.511993, 0.526988, -3.689123, 480.000000,934635
0.655909, -3.859577, 0.527230, -3.689882, 499.000000,934689
0.498527, -3.610105, 0.527484, -3.689674, 528.000000,934740
0.602457, -3.682693, 0.527682, -3.689428, 568.000000,934802
0.538673, -3.733883, 0.527418, -3.689456, 598.000000,934846
0.616142, -3.646806, 0.527447, -3.689020, 624.000000,934906
0.485234, -3.727081, 0.526778, -3.689075, 656.000000,934969
0.617128, -3.652652, 0.526876, -3.688855, 695.000000,935034
0.419133, -3.630515, 0.526345, -3.688397, 710.000000,935086
0.629942, -3.690262, 0.527181, -3.688623, 750.000000,935121
0.630933, -3.722418, 0.527107, -3.688655, 771.000000,935198
0.459467, -3.651910, 0.526668, -3.688434, 784.000000,935233
