time,Forca (N),Deslocamento (mm)
139,0.4248310000000001,0.0
149,0.0414,0.0
159,0.300475,0.0
169,0.18648199999999956,0.0
179,0.300475,0.0
189,0.2797489999999999,0.0
199,0.341927,0.0
209,0.23829699999999987,0.0
219,0.08285199999999948,0.0
229,0.1553929999999998,0.0
239,0.051762999999999684,0.0
249,0.300475,0.0
259,0.2693859999999997,0.0
269,0.1968449999999999,0.0
279,0.3522899999999998,0.0
289,0.14502999999999958,0.0
299,0.1864820000000001,0.0
309,0.0724890000000002,0.0
319,0.2072080000000001,0.0
329,0.5802759999999996,0.0
339,0.12430399999999958,0.0
349,0.2486599999999997,0.0
359,0.10357799999999959,0.0
369,0.1968449999999999,0.0
379,0.5491870000000002,0.0
389,0.2901119999999997,0.0
399,0.4559199999999994,0.0
409,0.2175709999999999,0.0
419,0.37301599999999935,0.0
429,0.08285199999999948,0.0
439,0.2590229999999999,0.0
449,0.0724890000000002,0.0
459,0.341927,0.0
469,0.14502999999999958,0.0
479,0.11394099999999979,0.0
489,0.341927,0.0
499,0.1553930000000003,0.0
509,0.07248899999999979,0.0
519,0.2797489999999999,0.0
529,0.3108379999999998,0.0
539,0.16575599999999957,0.0
549,0.3108379999999998,0.0
559,0.4559199999999994,0.0
569,0.3937419999999998,0.0
579,0.1761189999999999,0.0
589,0.46628300000000006,0.0
599,0.1968449999999999,0.0
609,0.2901119999999997,0.0
619,0.14502999999999958,0.0
629,0.16575599999999957,0.0
639,0.124304,0.0
649,0.1968449999999999,0.0
659,0.10357799999999959,0.0
669,0.12430399999999958,0.0
679,0.2901119999999997,0.0
689,0.2901119999999997,0.0
699,0.1968449999999999,0.0
709,0.43519399999999986,0.0
719,0.14502999999999958,0.0
729,0.44555699999999965,0.0
739,0.051762999999999684,0.0
749,0.0932150000000002,0.0
759,0.300475,0.0
769,0.3626529999999996,0.0
779,0.2486599999999997,0.0
789,0.0414,0.0
799,0.2797489999999999,0.0
809,0.06212599999999948,2.5
819,0.1968449999999999,0.0
829,0.23829699999999987,0.0
839,0.2901119999999997,0.0
849,0.051762999999999684,0.0
859,0.2175709999999999,0.0
869,0.14502999999999958,0.0
879,0.20720799999999967,0.0
889,0.22793399999999966,0.0
899,0.0932149999999998,0.0
909,0.1968449999999999,0.0
919,0.0932149999999998,0.0
929,0.2901119999999997,0.0
939,0.2486599999999997,0.0
949,0.051762999999999684,0.0
959,0.383379,0.0
969,0.1761189999999999,0.0
979,0.1553929999999998,0.0
989,0.11394099999999979,0.0
999,0.2901119999999997,0.0
1009,0.2693859999999997,0.0
1019,0.300475,0.0
1029,0.0932149999999998,0.0
1039,0.300475,0.0
1049,0.1761189999999999,0.0
1059,0.1346669999999998,0.0
1069,0.2486599999999997,0.0
1079,0.3626529999999996,0.0
1089,0.062126,0.0
1099,0.3108379999999998,0.0
1109,0.062126,0.0
1119,0.3626529999999996,0.0
1129,0.18648199999999956,0.0
1139,0.33156399999999925,0.0
1149,0.1346669999999998,0.0
1159,0.2175709999999999,0.0
1169,0.2693859999999997,0.0
1179,0.18648199999999956,0.0
1189,0.46628300000000006,0.0
1199,0.46628300000000006,0.0
1209,0.0932150000000002,0.0
1219,0.341927,0.0
1229,0.2175709999999999,0.0
1239,0.37301599999999935,0.0
1249,0.16575599999999957,0.0
1259,0.2590229999999999,0.0
1269,0.10357799999999959,0.0
1279,0.4248310000000001,0.0
1289,0.0932150000000002,0.0
1299,0.0414,0.0
1309,0.37301599999999935,0.0
1319,0.2486599999999997,0.0
1329,0.0932149999999998,0.0
1339,0.2901119999999997,0.0
1349,0.08285200000000001,0.0
1359,0.41446799999999934,0.0
1369,0.2590229999999999,0.0
1379,0.0932149999999998,0.0
1389,0.1761189999999999,0.0
1399,0.4870089999999997,0.0
1409,0.2486599999999997,0.0
1419,0.12430399999999958,0.0
1429,0.300475,0.0
1439,0.124304,0.0
1449,0.1968449999999999,0.0
1459,0.300475,0.0
1469,0.33156399999999925,0.0
1479,0.1968449999999999,0.0
1489,0.0932149999999998,0.0
1499,0.40410499999999955,0.0
1509,0.103578,0.0
1519,0.6424540000000001,0.0
1529,0.2797489999999999,0.0
1539,0.1968449999999999,0.0
1549,0.13466700000000031,0.0
1559,0.1968449999999999,0.0
1569,0.14502999999999958,0.0
1579,0.2693859999999997,0.0
1589,0.41446799999999934,0.0
1599,0.12430399999999958,0.0
1609,0.383379,0.0
1619,0.4559199999999994,0.0
1629,0.0414,0.0
1639,0.3522899999999998,0.0
1649,0.2797489999999999,0.0
1659,0.16575599999999957,0.0
1669,0.12430399999999958,0.0
1679,0.1553929999999998,0.0
1689,0.22793399999999966,0.0
1699,0.18648199999999956,0.0
1709,0.0932150000000002,0.0
1719,0.5906389999999994,0.0
1729,0.1657560000000001,0.0
1739,0.1553929999999998,0.0
1749,0.2486599999999997,0.0
1759,0.2175709999999999,0.0
1769,0.2175709999999999,0.0
1779,0.22793399999999966,0.0
1789,0.18648199999999956,0.0
1799,0.08285199999999948,0.0
1809,0.23829699999999987,0.0
1819,0.41446799999999934,0.0
1829,0.2175709999999999,0.0
1839,0.3108379999999998,0.0
1849,0.1968449999999999,0.0
1859,0.2693859999999997,0.0
1869,0.32120099999999957,0.0
1879,0.33156399999999925,0.0
1889,0.3108379999999998,0.0
1899,0.2901119999999997,0.0
1909,0.062126,0.0
1919,0.08285199999999948,0.0
1929,0.1968450000000003,0.0
