angle_roll,kalman_angle_roll,angle_pitch,kalman_angle_pitch,analogRule,time
4.11,3.88,-77.26,-76.90,0,139
3.74,3.88,-77.00,-76.90,0,149
3.99,3.88,-76.46,-76.89,0,159
3.88,3.88,-76.82,-76.89,0,169
3.99,3.88,-76.87,-76.89,0,179
3.97,3.88,-76.80,-76.89,0,189
4.03,3.88,-77.10,-76.89,0,199
3.93,3.88,-76.95,-76.89,0,209
3.78,3.88,-76.66,-76.89,0,219
3.85,3.88,-77.19,-76.89,0,229
3.75,3.88,-77.28,-76.89,0,239
3.99,3.88,-76.82,-76.89,0,249
3.96,3.88,-77.11,-76.89,0,259
3.89,3.88,-76.65,-76.88,0,269
4.04,3.88,-76.46,-76.88,0,279
3.84,3.89,-77.20,-76.88,0,289
3.60,3.89,-76.56,-76.88,0,299
3.71,3.88,-77.28,-76.88,0,309
3.58,3.88,-77.31,-76.88,0,319
4.26,3.88,-76.58,-76.87,0,329
3.82,3.88,-76.83,-76.87,0,339
3.94,3.88,-77.04,-76.88,0,349
3.80,3.88,-77.07,-76.88,0,359
3.89,3.88,-76.55,-76.88,0,369
4.23,3.88,-76.69,-76.88,0,379
3.98,3.88,-77.18,-76.89,0,389
4.14,3.88,-76.86,-76.89,0,399
3.91,3.88,-76.37,-76.89,0,409
4.06,3.88,-76.74,-76.89,0,419
3.78,3.88,-77.19,-76.90,0,429
3.95,3.88,-76.98,-76.90,0,439
3.71,3.88,-76.72,-76.90,0,449
4.03,3.88,-76.55,-76.90,0,459
3.84,3.88,-77.19,-76.90,0,469
3.81,3.88,-76.79,-76.90,0,479
4.03,3.88,-76.48,-76.90,0,489
3.63,3.88,-77.06,-76.90,0,499
3.77,3.88,-76.58,-76.89,0,509
3.97,3.88,-76.89,-76.89,0,519
4.00,3.88,-76.81,-76.89,0,529
3.86,3.88,-77.12,-76.90,0,539
4.00,3.88,-76.44,-76.90,0,549
4.14,3.88,-76.70,-76.90,0,559
4.08,3.88,-76.77,-76.89,0,569
3.87,3.88,-76.65,-76.89,0,579
4.15,3.88,-77.15,-76.90,0,589
3.89,3.88,-76.51,-76.90,0,599
3.98,3.88,-76.73,-76.89,0,609
3.84,3.88,-76.66,-76.89,0,619
3.86,3.88,-77.04,-76.90,0,629
3.66,3.88,-77.06,-76.90,0,639
3.89,3.88,-76.64,-76.90,0,649
3.80,3.88,-76.80,-76.90,0,659
3.82,3.88,-76.82,-76.90,0,669
3.98,3.88,-76.60,-76.90,0,679
3.98,3.88,-76.92,-76.90,0,689
3.89,3.88,-77.05,-76.90,0,699
4.12,3.88,-76.95,-76.89,0,709
3.84,3.88,-77.05,-76.89,0,719
4.13,3.88,-76.85,-76.89,0,729
3.75,3.88,-76.66,-76.89,0,739
3.69,3.88,-77.16,-76.89,0,749
3.99,3.88,-76.75,-76.89,0,759
4.05,3.88,-76.85,-76.89,0,769
3.94,3.88,-76.39,-76.89,0,779
3.74,3.88,-77.16,-76.89,0,789
3.97,3.88,-76.66,-76.89,0,799
3.76,3.88,-76.83,-76.89,250,809
