time,Forca (N),Deslocamento (mm)
62758,0.7460840000000001,0.0
62768,1.1191520000000001,0.0
62778,1.3471380000000002,0.0
62788,1.5129460000000001,0.0
62798,1.637302,0.0
62808,1.7202060000000001,0.0
62818,1.792747,0.0
62828,1.844562,0.0
62838,1.8963770000000002,0.0
62848,1.9378290000000002,0.0
62858,1.9585550000000003,0.0
62868,1.989644,0.0
62878,2.020733,0.0
62888,2.0414589999999997,0.0
62898,2.051822,0.0
62908,2.072548,0.0
62918,2.093274,0.0
62928,2.103637,0.0
62938,2.114,0.0
62948,2.124363,0.0
62958,2.1347259999999997,0.0
62968,2.1450889999999996,0.0
62978,2.1450889999999996,0.0
62988,2.155452,0.0
62998,2.155452,0.0
63008,2.155452,0.0
63018,2.165815,0.0
63028,2.165815,0.0
63038,2.1761779999999997,0.0
63048,2.1761779999999997,0.0
63058,2.1761779999999997,0.0
63068,2.1761779999999997,0.0
63078,2.1865409999999996,0.0
63088,2.1865409999999996,0.0
63098,2.196904,0.0
63108,2.196904,0.0
63118,2.207267,0.0
63128,2.207267,0.0
63138,2.207267,0.0
63148,2.207267,0.0
63158,2.207267,0.0
63168,2.207267,0.0
63178,2.2176299999999998,0.0
63188,2.2176299999999998,0.0
63198,2.2176299999999998,0.0
63208,2.2176299999999998,0.0
63218,2.2176299999999998,0.0
63228,2.2279929999999997,0.0
63238,2.2279929999999997,0.0
63248,2.2279929999999997,0.0
63258,2.2279929999999997,0.0
63268,2.2279929999999997,0.0
63278,2.2279929999999997,0.0
63288,2.2279929999999997,0.0
63298,2.238356,0.0
63308,2.238356,0.0
63318,2.238356,0.0
63328,2.238356,0.0
63338,2.238356,0.0
63348,2.238356,0.0
63358,2.238356,0.0
63368,2.248719,0.0
63378,2.248719,0.0
63388,2.248719,0.0
63398,2.248719,0.0
63408,2.248719,0.0
63418,2.248719,0.0
63428,2.248719,0.0
63438,2.248719,0.0
63448,2.248719,0.0
63458,2.248719,0.0
63468,2.248719,0.0
63478,2.248719,0.0
63488,2.248719,0.0
63498,2.248719,0.0
63508,2.248719,0.0
63518,2.248719,0.0
63528,2.248719,0.0
63538,2.248719,0.0
63548,2.248719,0.0
63558,2.248719,0.0
63568,2.248719,0.0
63578,2.248719,0.0
63588,2.248719,0.0
63598,2.259082,0.0
63608,2.259082,0.0
63618,2.259082,0.0
63628,2.259082,0.0
63638,2.259082,0.0
63648,2.259082,0.0
63658,2.259082,0.0
63668,2.259082,0.0
63678,2.259082,0.0
63688,2.259082,0.0
63698,2.259082,0.0
63708,2.259082,0.0
63718,2.248719,0.0
63728,2.248719,0.0
63738,2.248719,0.0
63748,2.248719,0.0
63758,2.248719,0.0
63768,2.248719,0.0
63778,2.248719,0.0
63788,2.238356,0.0
63798,2.238356,0.0
63808,2.238356,0.0
63818,2.238356,0.0
63828,2.238356,0.0
63838,2.238356,0.0
63848,2.238356,0.0
63858,2.238356,0.0
63868,2.248719,0.0
63878,2.248719,0.0
63888,2.248719,0.0
63898,2.248719,0.0
63908,2.248719,0.0
63918,2.248719,0.0
63928,2.248719,0.0
63938,2.248719,0.0
63948,2.248719,0.0
63958,2.248719,0.0
63968,2.248719,0.0
63978,2.248719,0.0
63988,2.248719,0.0
63998,2.248719,0.0
64008,2.248719,0.0
64018,2.248719,0.0
64028,2.248719,0.0
64038,2.248719,0.0
64048,2.248719,0.0
64058,2.248719,0.0
64068,2.248719,0.0
64078,2.248719,0.0
64088,2.248719,0.0
64098,2.248719,0.0
64108,2.248719,0.0
64118,2.248719,0.0
64128,2.248719,0.0
64138,2.248719,0.0
64148,2.248719,0.0
64158,2.248719,0.0
64168,2.248719,0.0
64178,2.238356,0.0
64188,2.238356,0.0
64198,2.238356,0.0
64208,2.238356,0.0
64218,2.238356,0.0
64228,2.238356,0.0
64238,2.238356,0.0
64248,2.238356,0.0
64258,2.238356,0.0
64268,2.238356,0.0
64278,2.238356,0.0
64288,2.238356,0.0
64298,2.238356,0.0
64308,2.248719,0.0
64318,2.238356,0.0
64328,2.238356,0.0
64338,2.238356,0.0
64348,2.248719,0.0
64358,2.248719,0.0
64368,2.248719,0.0
64378,2.248719,0.0
64388,2.248719,0.0
64398,2.248719,0.0
64408,2.248719,0.0
64418,2.248719,0.0
64428,2.238356,0.0
64438,2.238356,0.0
64448,2.238356,0.0
64458,2.238356,0.0
64468,2.238356,0.0
64478,2.238356,0.0
