angle_roll,kalman_angle_roll,angle_pitch,kalman_angle_pitch,analogRule,time
7.60,7.66,-72.36,-72.43,3888,352127
7.65,7.66,-72.50,-72.43,3883,352129
7.62,7.66,-72.59,-72.43,3904,352130
7.69,7.66,-72.59,-72.43,3888,352131
7.98,7.66,-72.27,-72.43,3636,352133
7.82,7.66,-72.42,-72.43,3878,352144
7.90,7.66,-72.41,-72.43,3971,352148
7.60,7.66,-72.60,-72.44,3959,352149
7.66,7.66,-72.52,-72.44,3685,352150
7.84,7.66,-72.50,-72.44,4039,352151
7.60,7.66,-72.45,-72.44,4095,352152
7.69,7.66,-72.58,-72.44,3857,352165
7.58,7.66,-72.42,-72.44,3900,352166
7.65,7.66,-72.57,-72.44,3848,352167
7.57,7.66,-72.50,-72.44,3934,352169
7.79,7.66,-72.51,-72.44,4015,352171
7.71,7.65,-72.46,-72.44,3849,352173
7.75,7.65,-72.50,-72.44,3792,352174
7.53,7.65,-72.48,-72.44,4090,352187
7.66,7.65,-72.48,-72.44,3873,352189
7.79,7.65,-72.40,-72.44,3834,352192
7.67,7.65,-72.50,-72.44,3837,352194
7.79,7.66,-72.45,-72.44,4091,352197
7.69,7.66,-72.56,-72.44,4067,352199
7.71,7.66,-72.43,-72.44,3906,352200
7.79,7.66,-72.48,-72.44,3607,352201
7.72,7.66,-72.42,-72.44,4095,352212
7.82,7.66,-72.50,-72.44,3894,352214
7.75,7.66,-72.35,-72.44,3824,352215
7.71,7.66,-72.37,-72.44,3809,352217
7.78,7.66,-72.33,-72.44,3873,352218
7.74,7.66,-72.31,-72.44,3776,352229
7.68,7.66,-72.41,-72.44,4095,352231
7.73,7.66,-72.43,-72.44,3866,352232
7.79,7.66,-72.30,-72.44,3857,352233
7.67,7.66,-72.40,-72.44,3824,352234
7.66,7.66,-72.44,-72.44,3860,352235
7.70,7.66,-72.41,-72.43,3929,352247
7.68,7.66,-72.42,-72.43,3793,352250
7.63,7.66,-72.39,-72.43,4095,352252
7.63,7.66,-72.39,-72.43,3888,352256
7.62,7.66,-72.45,-72.43,4048,352257
7.60,7.66,-72.44,-72.43,3706,352258
7.69,7.66,-72.47,-72.43,3819,352259
